md5,url,cluster
b47f103826642cf2f148a258b4d74f9c,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/28/0/1159054696390170.mp4,1
57c19a44f043a7aa2f9555bf6ce75de8,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/6/1920839692199896.mp4,1
fcf2cd7a8e1a456f18bf4a23b0f99bcf,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/2/857016890028972.mp4,1
8e0b4a55bac50aef95b4c73eba5cc68f,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/0/1552000806118170.mp4,1
9843d6b35866050e164ad61ce5e39010,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/0/1581233466234880.mp4,1
dc4af5df8d1d1245f51233fb64fcb04e,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/3/1524969268780503.mp4,1
4d04d863a9975f90d6e148d97ac7f54c,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/2/1163389849239392.mp4,1
e90469f06376db088dac9a608d7982b5,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/02/1/1419489999516711.mp4,2
029e9671241af21546c440d27ff71ac4,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/1/836397769301281.mp4,3
0a9c01f5cfebdb497b80f5849509abff,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/8/1294689335798918.mp4,2
e5aed95fcd1509fe1e58e22eca20613a,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/21/5/1564517705265395.mp4,2
b3573a590e3641dfae76bc777ac5cddc,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2026/01/04/9/886933540476349.mp4,3
a31bb298f82336e081fad3ccdc31338c,https://s6-projects.oss-us-east-1.aliyuncs.com/ads/s6_info_2021_v4/videos/2025/12/08/7/2032284010839957.mp4,1
